ID,Nom,Categorie,Unite de matrice,"energie, calories (kcal)","Lipides, totaux (g)","Acides gras, satures (g)","Acides gras, mono-insatures (g)","Acides gras, poly-insatures (g)",Cholesterol (mg),"Glucides, disponibles (g)",Sucres (g),Amidon (g),Fibres alimentaires (g),Proteines (g),Sel (NaCl) (g),Alcool (g),Eau (g),"Activite de vitamine A, RE (µg-RE)","Activite de vitamine A, RAE (µg-RE)",Retinol (µg),Activite de betacarotene (µg-BCE),Betacarotene (µg),Vitamine B1 (thiamine) (mg),Vitamine B2 (riboflavine) (mg),Vitamine B6 (pyridoxine) (mg),Vitamine B12 (cobalamine) (µg),Niacine (mg),Folate (µg),Acide pantothenique (mg),Vitamine C (acide ascorbique) (mg),Vitamine D (calciferol) (µg),Activite de vitamine E (mg-ATE),Potassium (K) (mg),Sodium (Na) (mg),Chlore (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphore (P) (mg),Fer (Fe) (mg),Iode (I) (µg),Zinc (Zn)  (mg),Selenium (Se) (µg)
789,Saucisse du brasseur,Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,291,"25,4","9,4","11,8","2,6",63,0,0,0,0,"15,6","1,4","0,1",59,5,5,5,2,2,"0,23","0,16","0,13","1,52","2,65","1,6","0,29",0,0,"0,43",120,570,870,"2,9",13,79,"1,2","0,7","2,1",n.i.
1087,Saucisse type Minipic,Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,460,"39,1","15,4","18,7","3,8",97,"0,8","0,8",0,0,"26,1","4,5",0,"26,4",0,0,0,n.i.,n.i.,"0,28","0,16","0,22","1,8","7,2",n.i.,"0,9","3,9","1,6",0,390,1780,2540,0,28,330,3,n.i.,"3,9",13
1114,Saucisses crues (moyenne),Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,456,"40,7","15,6","18,6","3,7",80,"0,3","0,3",0,0,22,"3,7",0,"36,9",5,4,4,5,5,"0,49","0,2","0,29","2,22","6,02","2,6","0,7","31,7","0,8","0,34",340,1490,2300,"6,8",19,180,"1,5","0,9",3,n.i.
1115,Saucisses crues avec maturation interrompue (moyenne),Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,356,"31,8","11,8","14,8","3,2",63,"0,7","0,7",0,"0,2","16,5","2,2","0,1","50,8",4,4,3,3,3,"0,47","0,14","0,24","1,07","4,11","4,3","0,61","38,8",0,"0,35",220,890,1310,11,18,130,"0,9","1,3","1,8",n.i.
780,Saucisson,Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,467,"44,2","16,1","20,5","4,8",71,"0,5","0,5",0,0,"16,7","2,5","0,1","38,6",7,7,7,0,0,"0,72","0,2","0,39","1,72","4,27","2,2","0,57","59,2",0,"0,61",190,1000,1470,"2,4",21,79,1,"1,1","1,8",n.i.
1088,Saucisson vaudois,Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,358,"32,3",12,"14,8","2,9",71,"0,2","0,2",0,0,"16,5","2,1",0,"47,9",0,0,0,n.i.,n.i.,"0,45","0,12","0,21","0,7","4,7",n.i.,"0,9","19,5",0,0,260,830,1280,14,17,170,"0,7",n.i.,"1,8","9,4"
13341,"Saucisson vaudois, cuit (sans adjonction de graisse ni de sel)",Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,511,"47,9","17,5","22,3","5,2",85,"0,6","0,6",0,0,"19,3","2,6","0,1","32,2",8,8,8,0,0,"0,65","0,23","0,35","1,45","3,86","1,7","0,51",50,0,"0,66",190,1020,1770,"2,5",26,95,"1,1","1,3","2,1",n.i.
461,"Sauge, crue",Legumes/Herbes aromatiques,par 100 g de portion comestible,59,"2,1","1,1","0,3","0,3",0,"6,9","6,8","0,1","2,9","1,7",0,0,85,471,235,0,2824,2780,"0,12","0,06","0,54",0,"0,92",0,0,0,0,"0,75",170,2,32,270,69,15,"4,5",1,"0,8",n.i.
194,"Saumon d'elevage, cru",Poisson/Poissons de mer,par 100 g de portion comestible,200,"13,4","2,2","4,9","2,5",66,0,0,0,0,"19,9","0,1",0,67,11,11,11,0,0,"0,21","0,14","0,5","6,9","8,2",13,2,1,"8,3","1,4",440,57,n.i.,12,28,250,"0,4",44,"0,4",n.i.
193,Saumon fume,Poisson/Poissons de mer,par 100 g de portion comestible,167,"8,2","1,8","2,7","2,7",50,0,0,0,0,"23,2","4,1",0,"62,5",7,7,7,0,0,"0,25","0,16","0,64","4,3","8,7",3,"0,71",0,"6,3","1,8",410,1660,n.i.,10,27,310,0,56,"0,4",n.i.
